序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
74,4:5,1K,1024x1280,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1510,1585,低,0.045300,0.045676,22838,53,53s,2432009,2.32 MB,data/floating-city/images/074_4-5_1K_1024x1280_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
75,4:5,1K,1024x1280,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",104,6119,6223,中,0.183570,0.184090,92045,160,2m 40s,2440673,2.33 MB,data/floating-city/images/075_4-5_1K_1024x1280_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from interconnected platforms, with suspended gardens draping between structures. Small transport pods glide between buildings. People walk across transparent sky bridges. The ocean below reflects the city lights and sunset colors with shimmering detail. Orange and violet clouds fill the sky. Intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, epic sci-fi cityscape.",ok,
76,4:5,1K,1024x1280,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1510,1585,高,0.045300,0.045676,22838,53,53s,2411570,2.30 MB,data/floating-city/images/076_4-5_1K_1024x1280_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
77,4:5,2K,2048x2560,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",94,3303,3397,自动,0.099090,0.099560,49780,76,1m 16s,8978205,8.56 MB,data/floating-city/images/077_4-5_2K_2048x2560_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, cinematic atmosphere, dramatic but serene, wide establishing shot.",ok,
78,4:5,2K,2048x2560,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",104,13385,13489,低,0.401550,0.402070,201035,187,3m 7s,8932272,8.52 MB,data/floating-city/images/078_4-5_2K_2048x2560_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, suspended gardens woven between structures, small sleek transport pods moving between buildings, and people walking across transparent sky bridges. The water below mirrors the city with shimmering reflections. Orange and violet clouds fill the sky, with intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, grand scale, dramatic yet serene.",ok,
79,4:5,2K,2048x2560,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3303,3378,中,0.099090,0.099466,49733,66,1m 6s,8608501,8.21 MB,data/floating-city/images/079_4-5_2K_2048x2560_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
80,4:5,2K,2048x2560,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",88,13385,13473,高,0.401550,0.401990,200995,191,3m 11s,8977126,8.56 MB,data/floating-city/images/080_4-5_2K_2048x2560_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, expansive environment, dramatic yet serene mood",ok,
81,4:5,4K,2576x3216,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",84,4690,4774,自动,0.140700,0.141120,70560,263,4m 23s,10853214,10.35 MB,data/floating-city/images/081_4-5_4K_2576x3216_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below. Orange and violet clouds in the sky, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, cinematic scale.",ok,
82,4:5,4K,2576x3216,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",111,4690,4801,低,0.140700,0.141256,70628,100,1m 40s,12060861,11.50 MB,data/floating-city/images/082_4-5_4K_2576x3216_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, dramatic yet serene, expansive horizon, high dynamic range, subtle motion in transport pods, elegant futuristic architecture, no text, no watermark.",ok,
83,4:5,4K,2576x3216,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",104,19006,19110,中,0.570180,0.570700,285350,263,4m 23s,12120782,11.56 MB,data/floating-city/images/083_4-5_4K_2576x3216_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details rise from suspended gardens and elevated platforms. Small transport pods move between buildings, and tiny people walk across transparent sky bridges. The ocean below reflects the city and the warm sunset light with shimmering highlights. Orange and violet clouds fill the sky, with realistic lighting, atmospheric haze, and a balanced, expansive composition. Ultra-detailed, photorealistic, cinematic atmosphere.",ok,
84,4:5,4K,2576x3216,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,4690,4765,高,0.140700,0.141076,70538,154,2m 34s,11878541,11.33 MB,data/floating-city/images/084_4-5_4K_2576x3216_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
